Lc_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,multi,2.220446049250313e-16
Lc_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,nomulti,2.220446049250313e-16
Lc_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,multi,2.220446049250313e-16
Lc_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,nomulti,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,ref,multi,0.996340778447139
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,ref,nomulti,0.9959479064734365
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,maj,multi,0.9963400408244832
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,maj,nomulti,0.9959472472336298
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,anc,multi,0.996339719388886
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,anc,nomulti,0.9959467114429693
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,ref,multi,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,ref,nomulti,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,multi,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,nomulti,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,multi,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,nomulti,2.220446049250313e-16
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,ref,multi,0.9999922018025279
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,ref,nomulti,0.9999922270941626
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,maj,multi,0.9999924712365805
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,maj,nomulti,0.9999924917149213
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,anc,multi,0.9999921902706104
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,bm,anc,nomulti,0.9999922154905804
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,ref,multi,0.00277212221807821
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,ref,nomulti,0.002751028461347005
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,multi,0.002871050355779947
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,maj,nomulti,0.0028477153890626994
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,multi,0.002768039913335296
Sa_2_prewas_output_with_ancestral_reconstruction_given_tree,wn,anc,nomulti,0.0027469387591747556
