Sa_2_prewas_output_no_ancestral_reconstruction_no_tree_given,wn,no multi,0.7696967302570777
Efs_1_prewas_output_no_ancestral_reconstruction_no_tree_given,bm,multi,0.9998744844403495
Efs_1_prewas_output_no_ancestral_reconstruction_no_tree_given,bm,no multi,0.9998799292224977
Efs_1_prewas_output_no_ancestral_reconstruction_no_tree_given,wn,multi,0.9343121063463332
Efs_1_prewas_output_no_ancestral_reconstruction_no_tree_given,wn,no multi,0.935958535896185
Efs_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,multi,0.9998772753189452
Efs_1_prewas_output_with_ancestral_reconstruction_given_tree,bm,no multi,0.9998792151879742
Efs_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,multi,0.9344216466795002
Efs_1_prewas_output_with_ancestral_reconstruction_given_tree,wn,no multi,0.9359426877024106
Sa_1_prewas_output_with_ancestral_reconstruction_no_tree_given,bm,multi,0.9999999999999998
Sa_1_prewas_output_with_ancestral_reconstruction_no_tree_given,bm,no multi,0.9999999999999998
Sa_1_prewas_output_with_ancestral_reconstruction_no_tree_given,wn,multi,2.220446049250313e-16
Sa_1_prewas_output_with_ancestral_reconstruction_no_tree_given,wn,no multi,2.220446049250313e-16
Cd_4_prewas_output_no_ancestral_reconstruction_no_tree_given,bm,multi,0.9999999999999998
Cd_4_prewas_output_no_ancestral_reconstruction_no_tree_given,bm,no multi,0.9999999999999998
Cd_4_prewas_output_no_ancestral_reconstruction_no_tree_given,wn,multi,0.3568798763402674
Cd_4_prewas_output_no_ancestral_reconstruction_no_tree_given,wn,no multi,0.3713792785312918
Cd_4_prewas_output_with_ancestral_reconstruction_given_tree,bm,multi,0.9999999999999998
Cd_4_prewas_output_with_ancestral_reconstruction_given_tree,bm,no multi,0.9999999999999998
Cd_4_prewas_output_with_ancestral_reconstruction_given_tree,wn,multi,0.3565602590664936
Cd_4_prewas_output_with_ancestral_reconstruction_given_tree,wn,no multi,0.3715444699793926
