,1009-2016-0-R1VRE,5067-4084-0-GVRE,1810-J012-1-G-TIPmvre,3349-F048-60-R-VRE-TIP,1030-E028-1-O-TIPmvre,1201-6005-0-GVRE,1523-3033-0-GVRE,2427-4042-30-RVRE,3421-E085-30-G-TIPmvre,6773-4106-0-GVRE,6994-4073-120-HVRE,8638-6066-0-GVRE,8805-1121-0-RVRE,5745-3096-0-GVRE,4783-3081-0-RVRE,7763-4119-0-GVRE,6071-3100-0-RVRE,9573-3160-14-RVRE,2565-5010-0-GVRE,1969-E060-1-G-TIPmvre,3238-E079-1-G-TIPmvre,7605-4117-0-HVRE,9378-3164-0-GVRE,3254-F047-14-G-TIPmvre,3982-F070-1-F-TIPmvre,3556-F057-1-G-TIPmvre,3993-E116-14-R-TIPmvre,315-4007-0-GVRE,12-3002-0-RVRE,1157-3026-0-RVRE,358-3009-14-HVRE,5182-3089-0-RVRE,3429-F034-240-G-TIPmvre,3043-J015-1-G-TIPmvre,177-3007-14-RVRE,1784-G009-120-U-VRE-TIP,28-A002-1-G-TIPmvre,1933-L010-1-G-TIPmvre,3302-E081-1-G-TIPmvre,292-F002-1-G-TIPmvre,3485-E103-1-G-TIPmvre,3668-E110-1-G-TIPmvre,2846-4047-0-GVRE,950-3024-0-RVRE,3567-3050-30-R1VRE,6825-3107-0-RVRE,3735-J027-1-R-TIPmvre,3936-E115-1-N-TIPmmrsa,3995-4065-30-GVRE,5087-6042-0-RVRE,3951-2040-0-RVRE,4232-1070-0-R1VRE,3871-E114-1-R-TIPmvre,3444-E095-1-R-TIPmvre,4916-5026-30-GVRE,295-E005-14-R-TIPmvre,2593-3042-14-RVRE,519-1016-0-RVRE,1864-6011-0-RVRE,2849-4048-0-RVRE,4893-2046-0-GVRE,30-1004-14-HVRE,3934-F068-1-R-TIPmvre,1885-F033-1-G-TIPmvre,1798-F029-1-R-TIPmvre,604-4008-14-RVRE,984-F014-1-G-TIPmvre,3640-F062-1-O-TIPmvre,1783-D030-1-R-TIPmvre,2063-K016-1-G-TIPmvre,3252-F045-30-G-TIPmvre,3671-J024-1-R-TIPmvre,3891-A018-1-G-TIPmvre,1565-1035-0-GVRE,501-4010-0-HVRE,9076-6068-0-RVRE,5701-2058-0-GVRE,8517-3146-0-GVRE,1432-E039-1-G-TIPmvre,507-E016-1-F-TIPmvre,508-L001-60-G-TIPmvre,514-E013-14-R-VRE-TIP,681-L003-30-G-TIPmvre,513-E013-14-G-VRE-TIP,682-E013-DC-G-VRE-TIP,3505-F055-14-R-TIPmvre,3901-F066-14-G-TIPmvre,1519-B006-30-G-TIPmvre,3419-D045-14-G-TIPmvre,3471-F053-1-G-TIPmvre,6940-3111-0-RVRE,853-5001-0-RVRE,6842-4101-30-RVRE,3983-J022-240-G-TIPmvre,4477-1075-0-RVRE,1205-6006-0-RVRE,1826-4032-14-R1VRE,187-4002-30-RVRE,1325-4024-0-RVRE,2313-4043-0-RVRE,4785-3083-0-GVRE,1643-4030-14-RVRE,2017-4039-0-R1VRE,2312-4041-14-RVRE,3963-3061-0-GVRE,1739-6010-0-RVRE,7500-6059-14-GVRE,692-2014-0-GVRE,850-2015-0-RVRE,5282-6041-14-GVRE,6241-5036-0-RVRE,2395-5005-30-G2VRE,3687-D049-1-G-TIPmvre,1812-E055-1-R-TIPmvre,3407-E087-14-R-TIPmvre,3470-E088-30-R-TIPmvre,3511-E104-14-G-TIPmvre,1964-B008-1-G-TIPmvre,3828-L019-14-G-TIPmvre,6299-6052-0-GVRE,7209-6060-0-RVRE-EMPTY,8117-4125-0-RVRE,3902-H020-1-G-TIPmvre,1214-J006-60-R-TIPmvre,3220-4053-0-RVRE,1238-K002-240-R-TIPmvre,352-K001-60-G-TIPmvre,3366-F050-14-G-VRE-TIP,3367-F050-14-R-VRE-TIP,3447-F050-30-G-VRE-TIP,4-K003-1-G-TIPmvre,1750-K011-150-G-TIPmvre,19-K005-1-R-TIPmvre,31-K009-1-G-TIPmvre,3954-F065-30-G-TIPmvre,3448-F050-30-R-VRE-TIP,1551-E024-120-R-TIPmvre,579-E017-14-G-TIPmvre,3618-L016-1-R-TIPmvre,1809-F010-300-G-TIPmvre,3338-F021-360-U-TIPmvre,3733-F064-1-R-TIPmvre,3825-C019-1-G-TIPmvre,1957-4037-0-RVRE,3401-5015-0-H1VRE,3339-E083-14-G-VRE-TIP,3535-4051-30-HVRE,3889-4054-60-RVRE,6557-3102-14-GVRE,1726-E049-14-O-TIPmvre,2015-F036-14-G-TIPmvre,2186-5008-0-RVRE,2031-F038-1-G-TIPmvre,3016-E071-14-G-TIPmvre,365-J004-14-G-TIPmvre,289-F001-1-G-TIPmvre,4029-G017-1-G-TIPmvre
3733-F064-1-R-TIPmvre,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,38,17,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,35,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6424,6426,6013,6013,6015,6012,6014,6013,6016,6014,6015,6014,6405,17471,17473,17479,17532,17527,17616,17482,17495,17498,17498,17496,17496,17454,5691,5717,5685,5718,5706,5691,5689,5719
3825-C019-1-G-TIPmvre,17,18,21,22,21,21,51,56,58,55,55,55,55,91,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,58,18,18,54,17,18,17,14,13,17,17,17,14,17,18,17,17,17,18,57,54,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,61,61,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6416,6417,6011,6011,6013,6010,6012,6011,6014,6012,6013,6012,6402,17422,17424,17431,17484,17478,17482,17553,17477,17479,17479,17477,17477,17441,5681,5707,5699,5708,5696,5705,5700,5707
1957-4037-0-RVRE,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,39,18,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,36,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6427,6428,6015,6015,6017,6014,6016,6015,6018,6016,6017,6016,6408,17435,17437,17443,17497,17491,17495,17477,17554,17545,17547,17543,17543,17451,5692,5718,5686,5719,5707,5692,5690,5720
3401-5015-0-H1VRE,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,39,18,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,36,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6426,6427,6014,6014,6016,6013,6015,6014,6017,6015,6016,6015,6407,17440,17444,17448,17500,17496,17498,17479,17545,17561,17548,17546,17548,17456,5691,5717,5685,5718,5706,5691,5689,5719
3339-E083-14-G-VRE-TIP,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,39,18,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,36,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6427,6428,6015,6015,6017,6014,6016,6015,6018,6016,6017,6016,6408,17439,17441,17447,17500,17495,17498,17479,17547,17548,17556,17546,17546,17455,5692,5718,5686,5719,5707,5692,5690,5720
3535-4051-30-HVRE,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,39,18,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,36,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6425,6426,6013,6013,6015,6012,6014,6013,6016,6014,6015,6014,6406,17436,17438,17446,17498,17492,17496,17477,17543,17546,17546,17558,17551,17454,5688,5714,5682,5715,5703,5688,5686,5716
3889-4054-60-RVRE,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,39,18,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,36,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6426,6427,6014,6014,6016,6013,6015,6014,6017,6015,6016,6015,6407,17440,17440,17446,17498,17496,17496,17477,17543,17548,17546,17551,17555,17456,5691,5717,5685,5718,5706,5691,5689,5719
6557-3102-14-GVRE,17,18,21,22,21,21,51,56,56,55,55,55,55,72,56,56,51,51,17,18,18,19,18,21,21,21,21,21,21,21,21,21,21,21,12,17,17,18,18,18,18,18,21,21,17,17,17,21,21,17,17,18,17,17,18,21,21,17,22,20,21,18,17,21,17,22,17,18,18,18,39,18,18,35,17,18,17,14,11,15,17,15,12,15,16,17,17,17,18,38,35,17,23,22,22,59,59,59,59,59,59,59,59,59,59,59,59,42,42,59,59,59,26,59,59,60,59,59,59,58,58,58,59,6420,6421,6012,6012,6014,6011,6013,6012,6015,6013,6014,6013,6402,17397,17399,17406,17456,17453,17454,17441,17451,17456,17455,17454,17456,17532,5685,5712,5679,5712,5700,5685,5680,5712
1726-E049-14-O-TIPmvre,18,19,20,23,20,20,29,32,31,31,31,31,31,78,32,32,29,29,19,19,19,18,20,20,20,20,20,20,48,20,20,20,20,20,13,18,18,19,19,19,19,19,21,20,18,18,18,20,20,18,18,19,18,18,19,20,20,18,21,19,20,19,18,20,18,21,18,19,19,19,68,19,19,66,18,19,18,16,13,15,18,15,14,15,16,18,18,18,19,67,66,18,26,22,22,44,44,44,44,44,44,44,44,44,44,44,44,72,72,44,44,44,26,44,44,45,44,44,45,44,44,44,45,5274,5276,4824,4822,4824,4823,4820,4822,4824,4822,4824,4824,5255,5690,5690,5690,5691,5689,5691,5681,5692,5691,5692,5688,5691,5685,14008,13931,13926,13971,13977,13930,13834,13861
2015-F036-14-G-TIPmvre,18,19,21,24,21,21,29,33,32,32,32,32,32,79,33,33,29,29,19,19,19,19,19,21,21,21,21,21,49,21,21,21,21,21,13,18,18,19,19,19,19,19,22,21,18,18,18,21,21,18,18,19,18,18,19,21,21,18,22,20,21,19,18,21,18,22,18,19,19,19,69,19,19,66,18,19,18,16,13,16,18,16,14,16,17,18,18,18,19,68,66,18,26,22,22,44,44,44,44,44,44,44,44,44,44,44,44,72,72,44,44,44,26,44,44,45,44,44,45,44,44,44,45,5301,5303,4849,4847,4851,4848,4847,4849,4851,4849,4851,4851,5282,5716,5716,5716,5717,5715,5717,5707,5718,5717,5718,5714,5717,5712,13931,14055,13985,14023,14029,13987,13952,13974
