,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_539,14103,14106,14104,14105,14108,14103,14048,14048,14053,14192,14261,13990,13988,13990,13994,13932,13994,13991,13986,13936,13963,13959,13940,13978,13974,6543,6621,6619,6619,6619,6462,6142,7234,273,176,175,175,185,185,185,186,185,185,185,185,185,153,71,7,4,4,1,2,1,2,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_128,14159,14153,14154,14156,14157,14155,14093,14101,14103,13996,13990,14471,14411,14413,14409,14351,14410,14406,14407,14348,14178,14173,14154,14243,14243,6611,6688,6687,6687,6688,6573,6274,7336,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,5,1,2,1,1,3,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_187,14160,14152,14154,14156,14156,14155,14093,14102,14102,13997,13988,14411,14484,14413,14408,14351,14409,14406,14402,14348,14177,14174,14155,14242,14243,6608,6685,6684,6684,6685,6571,6272,7334,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2
MRSA_jail_132,14162,14154,14155,14157,14158,14157,14094,14104,14104,13998,13990,14413,14413,14515,14430,14367,14427,14406,14404,14349,14179,14176,14157,14244,14244,6609,6686,6685,6685,6686,6572,6273,7335,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_543,14156,14159,14157,14155,14158,14156,14095,14099,14105,13994,13994,14409,14408,14430,14499,14367,14430,14411,14409,14351,14179,14173,14152,14251,14249,6612,6689,6688,6688,6689,6577,6273,7336,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_208,14098,14096,14097,14097,14100,14098,14035,14042,14045,13936,13932,14351,14351,14367,14367,14426,14370,14348,14346,14291,14122,14117,14094,14187,14187,6558,6635,6634,6634,6635,6536,6221,7283,330,186,185,185,199,199,199,200,199,199,200,200,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_262,14157,14158,14156,14156,14159,14157,14094,14101,14104,13995,13994,14410,14409,14427,14430,14370,14484,14410,14405,14350,14179,14174,14153,14249,14245,6612,6689,6688,6688,6689,6576,6273,7335,329,185,184,184,198,198,198,199,198,198,198,198,198,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_535,14153,14157,14154,14152,14155,14152,14093,14096,14102,13991,13991,14406,14406,14406,14411,14348,14410,14481,14403,14349,14175,14169,14149,14245,14242,6610,6687,6686,6686,6687,6575,6273,7336,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_531,14150,14151,14151,14149,14153,14150,14090,14093,14100,13988,13986,14407,14402,14404,14409,14346,14405,14403,14452,14346,14173,14167,14146,14243,14243,6610,6687,6686,6686,6687,6573,6271,7334,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_30,14098,14098,14099,14100,14100,14097,14096,14096,14102,13936,13936,14348,14348,14349,14351,14291,14350,14349,14346,14449,14120,14114,14094,14187,14187,6610,6641,6640,6640,6641,6565,6229,7291,330,186,185,185,199,199,199,200,199,199,199,199,199,195,75,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
