,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_262,14442,14443,14438,14441,14444,14441,14374,14383,14386,14275,14274,14699,14698,14717,14720,14657,14776,14699,14694,14635,14463,14458,14439,14535,14531,6746,6825,6822,6823,6824,6693,6385,7465,339,194,193,193,207,207,207,208,207,207,207,207,207,203,81,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_535,14438,14442,14436,14437,14440,14436,14373,14378,14384,14271,14271,14695,14695,14695,14700,14634,14699,14770,14692,14634,14459,14453,14435,14531,14528,6744,6823,6820,6821,6822,6692,6385,7466,340,195,194,194,208,208,208,209,208,208,208,208,208,203,81,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_531,14435,14436,14433,14434,14438,14434,14370,14375,14382,14268,14266,14696,14691,14693,14698,14632,14694,14692,14742,14631,14457,14451,14432,14529,14529,6744,6823,6820,6821,6822,6690,6383,7464,340,195,194,194,208,208,208,209,208,208,208,208,208,203,81,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_30,14379,14379,14377,14381,14381,14377,14375,14377,14383,14212,14212,14633,14633,14634,14636,14573,14635,14634,14631,14734,14400,14394,14376,14469,14469,6743,6775,6772,6773,6774,6681,6339,7419,340,195,194,194,208,208,208,209,208,208,208,208,208,203,81,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_284,14427,14425,14426,14426,14428,14428,14363,14367,14372,14246,14241,14462,14461,14463,14463,14403,14463,14459,14457,14400,14714,14708,14468,14495,14496,6792,6827,6823,6824,6823,6688,6338,7464,278,184,183,183,187,187,187,188,187,187,187,187,187,159,89,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_285,14424,14420,14421,14421,14423,14424,14358,14364,14367,14244,14237,14457,14458,14460,14457,14398,14458,14453,14451,14394,14708,14709,14468,14490,14490,6790,6823,6819,6822,6819,6684,6334,7459,278,184,183,183,187,187,187,188,187,187,187,187,187,159,89,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_43,14410,14403,14399,14406,14404,14402,14336,14350,14347,14232,14221,14440,14441,14443,14438,14377,14439,14435,14432,14376,14468,14468,14678,14471,14471,6727,6805,6799,6804,6802,6669,6324,7451,278,184,183,183,187,187,187,188,187,187,187,187,187,158,63,13,10,10,7,8,7,8,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_537,14442,14445,14439,14441,14446,14441,14376,14383,14388,14257,14258,14529,14528,14530,14537,14470,14535,14531,14529,14469,14495,14490,14471,14931,14803,6750,6830,6826,6827,6827,6696,6410,7483,381,236,235,235,200,200,200,201,200,200,200,200,200,226,68,13,10,10,7,8,7,7,9,6,1,1,1,2,4,4,3,3,3,3,4,5,4,3,2,2,3,2,2,2,2,4,2,2,3,3,2,2,3,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,7,7,7,6,6,6,7
MRSA_jail_560,14442,14442,14440,14441,14444,14441,14376,14382,14388,14257,14254,14529,14529,14530,14535,14470,14531,14528,14529,14469,14496,14490,14471,14803,14994,6750,6830,6826,6827,6827,6694,6411,7485,381,236,235,235,200,200,200,201,200,200,200,200,201,227,68,13,10,10,7,8,7,7,8,6,1,1,1,2,4,4,3,3,3,3,4,5,4,3,2,2,3,2,2,2,2,4,2,2,3,3,2,2,3,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,2,1,1,7,7,7,6,6,6,7
MRSA_jail_89,6730,6734,6730,6731,6733,6730,6728,6730,6733,6674,6677,6745,6742,6743,6746,6689,6746,6744,6744,6743,6792,6790,6727,6750,6750,14264,14023,13919,13949,13945,7207,6620,6546,278,184,183,183,187,187,187,187,187,187,186,187,186,161,92,12,10,10,7,7,6,6,8,6,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,2,1,1,3,2,1,3,1,1,1,2,2,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,7,7,7,6,6,6,6
