,1014-G002-150-F-TIPmmrsa,3216-E075-1-G1-TIPmmrsa,3337-E083-14-G-TIPmmrsa,3985-G015-30-R-TIPmmrsa,454-G006-30-N-TIPmmrsa,522-2011-0-NMRSA,1675-F027-1-O-TIPmmrsa,1907-2026-0-NMRSA,1952-3040-0-NMRSA,172-3006-0-NMRSA,7726-2071-14-HMRSA,2893-4047-0-NMRSA,1104-1026-0-HMRSA,974-1019-14-NMRSA,982-1024-0-HMRSA,1572-E041-1-G-TIPmmrsa,2897-4048-0-HMRSA,7635-3125-0-NMRSA,587-1018-0-HMRSA,2087-F041-14-U-TIPmmrsa,504-1008-0-NMRSA,1567-1035-0-NMRSA,1999-1039-0-HMRSA,5633-4094-0-NMRSA,3725-K018-1-N-TIPmmrsa,1837-E055-1-N-TIPmmrsa,1894-F033-1-G-TIPmmrsa,2084-F036-60-O-TIPmmrsa,3218-E076-1-N-TIPmmrsa,3258-F045-30-R-TIPmmrsa,3377-F049-30-N-TIPmmrsa,3404-F048-90-N-TIPmmrsa,3477-F053-1-N1-TIPmmrsa,3611-F059-14-N-TIPmmrsa,3658-F063-1-F-TIPmmrsa,5510-4088-14-RMRSA,5870-4054-180-NMRSA,3842-4067-0-HMRSA,731-F008-60-G-TIPmmrsa,733-G008-14-F-TIPmmrsa,1653-E043-14-N-TIPmmrsa,2010-4038-0-NMRSA,4681-4078-0-NMRSA,1507-2023-0-NMRSA,7122-4107-14-NMRSA,2689-2030-0-HMRSA,3528-L013-1-N-TIPmmrsa,2573-5010-0-NMRSA,6598-5037-14-HMRSA,4249-6029-30-HMRSA,96-3004-0-HMRSA,3938-K019-14-U-TIPmmrsa,3102-6017-14-NMRSA,7304-6059-0-HMRSA,3614-F061-1-O-TIPmmrsa,2095-2027-0-NMRSA,1891-E053-14-N-TIPmmrsa,6308-5036-0-HMRSA,4074-F070-60-U-TIPmmrsa,2457-1048-0-NMRSA,371-F007-14-F-TIPmmrsa,2064-K016-1-N-TIPmmrsa,3527-L014-1-N-TIPmmrsa,3440-D045-30-N-TIPmmrsa,61-L001-1-N-TIPmmrsa,32-K006-1-G-TIPmmrsa,3242-E079-1-N-TIPmmrsa,2239-3031-60-NMRSA,1252-6005-0-NMRSA,3614-5015-14-HMRSA,1373-4024-0-NMRSA,7969-3129-0-NMRSA,3796-L019-0-O-TIPmmrsa,4389-6035-0-HMRSA,4997-5030-0-NMRSA,988-2013-30-NMRSA,4880-3077-14-HMRSA,1534-E001-240-N-TIPmmrsa,3376-E087-1-N-TIPmmrsa,3797-C018-60-G-TIPmmrsa,1679-E042-30-O-TIPmmrsa,1319-E031-1-N-TIPmmrsa,1634-F025-1-U-TIPmmrsa,3490-E102-1-N-TIPmmrsa,3749-J029-1-W-TIPmmrsa,3750-K017-60-R-TIPmmrsa,3885-F067-1-G-TIPmmrsa,4478-3067-14-OMRSA,5797-4073-60-HMRSA,5726-3094-0-HMRSA,1436-D020-1-N1-TIPmmrsa,3624-L016-1-N-TIPmmrsa,369-D002-30-R-TIPmmrsa,526-1016-0-NMRSA,6745-6057-0-NMRSA,7473-4115-0-NMRSA,6125-4099-0-NMRSA,3577-H009-270-N-TIPmmrsa,4906-2046-0-HMRSA,6590-3105-0-NMRSA,839-4014-14-NMRSA,293-E002-DC-O-TIPmmrsa,3846-I013-120-N-TIPmmrsa,679-L004-DC-N-TIPmmrsa,1044-E028-1-N1-TIPmmrsa,717-E019-14-G-TIPmmrsa,895-E022-30-G1-TIPmmrsa,3033-E071-14-N1-TIPmmrsa,3530-E105-1-N-TIPmmrsa,1477-J007-1-N-TIPmmrsa,3018-F037-60-N-MRSA-TIP,5755-3089-30-NMRSA,34-A001-1-F-MRSA-TIP,803-A001-120-N-MRSA-TIP,3962-E117-1-W-TIPmmrsa,1974-4037-0-NMRSA,2175-4035-14-HMRSA,343-4007-0-NMRSA,453-G004-60-F-TIPmmrsa,6283-5035-0-NMRSA,3243-E080-1-N-TIPmmrsa,3134-A014-1-N-TIPmmrsa,3562-J023-1-U-TIPmmrsa,4003-F066-60-N-MRSA-TIP,6126-6050-0-NMRSA,173-6001-0-NMRSA,6199-1095-0-NMRSA,3964-2040-0-NMRSA,631-E011-30-N-TIPmmrsa,3623-j022-30-F-TIPmmrsa,4002-3062-0-NMRSA,675-H003-60-G1-TIPmmrsa,547-F009-30-N-TIPmmrsa,1041-E024-1-N-TIPmmrsa,4644-3064-30-HMRSA,1456-1032-0-NMRSA,147-K009-14-N-TIPmmrsa,355-K001-60-F-TIP-MRSA,110-A008-1-F-TIPmmrsa,54-A007-1-N-TIPmmrsa,9081-3152-14-NMRSA,7543-6041-120-NMRSA,1936-F012-330-F-TIPmmrsa,7359-6061-0-NMRSA,3720-J026-1-N-TIPmmrsa,667-C001-60-F-TIPmmrsa,6800-4104-0-HMRSA,520-2010-0-NMRSA,6505-4101-14-NMRSA,7899-2076-0-NMRSA,3641-B012-60-G-TIPmmrsa,2567-1050-0-NMRSA,3469-E096-14-F-TIPmmrsa,4055-6031-0-NMRSA,1998-5005-0-RMRSA,2018-J014-1-N-TIPmmrsa,511-J001-30-R-TIPmmrsa,719-J004-60-U-TIPmmrsa,369-3009-14-NMRSA,429-2005-30-NMRSA,4575-5027-0-RMRSA,3558-H015-1-N1-TIPmmrsa,3558-H019-1-N1-MRSA-TIP,639-3016-0-NMRSA,8066-2078-0-NMRSA,7449-4091-90-NMRSA,721-3019-0-NMRSA,8053-3135-0-HMRSA,3787-H016-90-N-TIPmmrsa,1967-B008-1-N-TIPmmrsa,1258-F015-1-N-TIPmmrsa,1397-F021-1-W-TIPmmrsa,1361-E034-1-N-TIPmmrsa,991-2016-0-NMRSA,1398-E037-1-G-TIPmmrsa,90-3003-0-NMRSA,3484-J011-360-U-TIPmmrsa,1931-5004-0-HMRSA,5407-2054-0-NMRSA,7769-4119-0-NMRSA,6280-3098-14-HMRSA,7841-3073-180-NMRSA,3907-H020-1-N-TIPmmrsa,1645-4028-14-OMRSA,3933-A018-14-W-TIPmmrsa,451-I005-1-R-TIPmmrsa,1966-B007-30-U-TIPmmrsa,3850-B013-90-R-TIPmmrsa,4062-B015-60-G-TIPmmrsa,324-H001-30-U-TIPmmrsa,3449-E093-14-N-TIPmmrsa,3019-F039-30-O-TIPmmrsa,3468-E082-90-F-TIPmmrsa,1476-J005-150-U-TIPmmrsa,1799-J006-210-N-TIPmmrsa,2568-2029-14-HMRSA,3498-6022-0-OMRSA,5684-6047-0-HMRSA,1685-4031-0-NMRSA,1745-6010-0-NMRSA,2322-6014-0-NMRSA,3414-2038-0-NMRSA,3865-3058-14-NMRSA,7541-5041-0-NMRSA,722-3020-0-NMRSA,591-6002-30-OMRSA,1480-G005-240-F-TIPmmrsa,3709-4065-0-NMRSA,3045-F043-1-N-TIPmmrsa,3183-D040-1-N-TIPmmrsa,3390-D041-90-O-TIPmmrsa,515-E012-14-F-TIPmmrsa,1396-B005-1-U-TIPmmrsa,1663-B002-300-N1-MRSA-TIP,273-4005-0-NMRSA,1734-E047-14-N-TIPmmrsa,3011-2034-0-HMRSA,1170-K007-210-F-TIPmmrsa,206-K008-30-U-TIPmmrsa,62-K010-1-N-TIPmmrsa,11-K003-1-N-TIPmmrsa,1857-I006-120-N-TIPmmrsa,1332-C007-90-R-TIPmmrsa,1454-B006-14-U-TIPmmrsa,3431-F034-240-N-TIPmmrsa,4956-2048-0-NMRSA,1856-A011-30-N-TIPmmrsa,5106-4084-0-HMRSA,6116-3096-14-NMRSA,6124-3100-0-NMRSA,1641-I008-1-R-TIPmmrsa,1318-D015-14-N2-TIPmmrsa,1321-G009-1-N-TIPmmrsa,1538-G010-14-F-TIPmmrsa,643-3018-0-SMRSA,3508-F055-14-N1-TIPmmrsa,2497-3042-0-NMRSA,3050-J015-1-O-TIPmmrsa,888-J003-90-N-TIPmmrsa,368-D001-30-N-TIPmmrsa,897-D004-14-N1-TIPmmrsa,5312-4090-0-NMRSA,3492-E103-1-N-TIPmmrsa,919-A010-14-N-TIPmmrsa,370-F005-14-U-TIPmmrsa,5263-3090-0-NMRSA,3504-E104-1-F1-TIPmmrsa,3537-C015-1-N-TIPmmrsa,3830-C019-1-N-TIPmmrsa,1095-E025-1-N-TIPmmrsa,1681-D027-14-N-TIPmmrsa,678-L003-30-U-TIPmmrsa,3496-E098-14-N-TIPmmrsa,3428-F052-1-N-TIPmmrsa,1271-I001-180-N-TIPmmrsa,1441-I007-14-N-TIPmmrsa,3963-I014-1-N-TIPmmrsa,6422-3102-0-HMRSA,1941-1038-0-NMRSA,500-E014-1-F-TIPmmrsa,4510-1076-0-NMRSA,3679-J024-1-G-TIPmmrsa,3220-L012-14-N1-TIPmmrsa,3507-C012-30-N-TIPmmrsa,1479-J009-1-O-TIPmmrsa,2960-3047-0-NMRSA,425-4004-14-NMRSA
4644-3064-30-HMRSA,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10284,10310,10273,10244,10261,10256,10247,10251,10258,10242,10254,10252,10215,10252,10256,10256,10255,10238,10250,10247,10254,10249,10254,10251,10252,10251,10238,10250,10214,10214,10252,10252,10219,10242,10254,10128,10077,10051,10053,10052,10051,10052,10054,10052,10056,10058,10057,10062,10062,10038,9983,9955,9981,4697,4710,4708,4657,4667,4678,4686,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
1456-1032-0-NMRSA,35,35,35,35,35,36,35,35,35,35,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,37,38,37,37,17,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10277,10273,10304,10248,10262,10259,10249,10252,10259,10246,10256,10255,10219,10258,10258,10257,10258,10240,10258,10248,10256,10251,10257,10255,10256,10256,10244,10252,10219,10219,10254,10254,10220,10245,10257,10133,10082,10057,10057,10056,10056,10057,10059,10056,10060,10062,10062,10068,10068,10043,9989,9961,9985,4697,4710,4708,4657,4667,4678,4686,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,19,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
147-K009-14-N-TIPmmrsa,32,32,32,32,32,33,32,32,32,32,32,32,33,33,33,33,33,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,66,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,18,17,17,17,17,30,30,31,30,30,17,30,30,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,30,30,36,20,17,17,18,23,10247,10244,10248,10363,10289,10251,10242,10232,10239,10226,10235,10236,10214,10238,10238,10237,10236,10220,10235,10228,10238,10231,10235,10235,10234,10233,10228,10234,10214,10214,10234,10236,10215,10224,10236,10115,10074,10045,10046,10045,10045,10045,10048,10045,10081,10084,10071,10061,10061,10035,9984,9958,9981,4692,4715,4713,4650,4665,4680,4684,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,34,34,17,17,18,18,19,6,6,6,6,6,6,6,6,6,20,19,6,7,6,21,19,6,6,6,7,6,6,6,6,6,6,7,6,23,19,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
355-K001-60-F-TIP-MRSA,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10262,10261,10262,10289,10334,10255,10246,10249,10256,10241,10253,10251,10213,10250,10255,10254,10253,10237,10249,10245,10253,10248,10253,10251,10251,10250,10237,10249,10213,10213,10251,10251,10217,10241,10253,10130,10077,10052,10052,10051,10051,10051,10054,10051,10054,10058,10057,10062,10062,10039,9983,9955,9980,4695,4708,4706,4655,4665,4676,4684,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
110-A008-1-F-TIPmmrsa,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,26,10257,10256,10259,10251,10255,10323,10307,10255,10262,10246,10259,10258,10219,10256,10261,10260,10259,10243,10255,10250,10258,10252,10256,10254,10255,10254,10242,10253,10217,10217,10255,10255,10221,10246,10258,10131,10080,10055,10055,10054,10054,10055,10057,10054,10072,10074,10060,10080,10080,10041,9987,9959,9983,4693,4719,4717,4655,4663,4674,4682,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,6,5,6,5,5,5,6,5,6,5,5,5,2,1,1
54-A007-1-N-TIPmmrsa,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,26,10248,10247,10249,10242,10246,10307,10312,10246,10253,10237,10249,10248,10210,10247,10252,10251,10250,10234,10245,10241,10249,10243,10247,10245,10246,10245,10232,10244,10208,10208,10246,10246,10212,10236,10248,10122,10071,10045,10046,10045,10045,10045,10048,10045,10062,10065,10051,10070,10070,10032,9979,9951,9976,4692,4718,4716,4654,4662,4673,4681,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,6,5,6,5,5,5,6,5,6,5,5,5,2,1,1
9081-3152-14-NMRSA,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10251,10251,10252,10232,10249,10255,10246,10306,10257,10241,10253,10251,10214,10251,10255,10255,10254,10237,10248,10245,10252,10246,10251,10248,10249,10248,10235,10247,10211,10211,10249,10249,10216,10239,10251,10125,10074,10049,10051,10050,10049,10050,10052,10050,10055,10059,10058,10063,10063,10039,9985,9952,9978,4694,4707,4705,4654,4664,4675,4683,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
7543-6041-120-NMRSA,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,18,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10258,10258,10259,10239,10256,10262,10253,10257,10322,10248,10260,10258,10221,10258,10262,10262,10261,10244,10255,10252,10259,10253,10258,10255,10256,10255,10242,10254,10218,10218,10256,10256,10223,10246,10258,10132,10081,10055,10057,10056,10055,10056,10058,10056,10059,10063,10062,10067,10067,10043,9987,9959,9985,4696,4709,4707,4656,4666,4677,4685,42,42,76,78,78,70,70,70,71,71,70,71,70,20,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
1936-F012-330-F-TIPmmrsa,35,35,35,35,35,36,35,35,35,35,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,37,38,37,37,17,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10246,10242,10246,10226,10241,10246,10237,10241,10248,10283,10247,10244,10210,10247,10248,10248,10247,10229,10242,10236,10243,10238,10243,10240,10240,10240,10227,10239,10206,10206,10240,10240,10207,10241,10242,10127,10080,10055,10056,10055,10054,10055,10057,10055,10052,10057,10055,10060,10060,10037,9985,9957,9984,4693,4706,4704,4654,4663,4674,4682,41,41,75,72,73,64,64,64,65,65,64,65,64,19,17,39,39,17,17,18,18,19,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
7359-6061-0-NMRSA,35,35,35,35,35,36,35,35,35,39,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10255,10254,10256,10235,10253,10259,10249,10253,10260,10247,10335,10257,10219,10256,10260,10260,10259,10241,10252,10248,10255,10250,10255,10252,10252,10252,10240,10251,10215,10215,10252,10252,10219,10243,10255,10130,10078,10054,10054,10053,10052,10054,10055,10053,10056,10060,10058,10064,10064,10040,9984,9956,9982,4694,4707,4705,4655,4664,4675,4683,41,41,75,77,78,69,69,69,70,70,69,70,69,19,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
3720-J026-1-N-TIPmmrsa,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,18,18,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10253,10252,10255,10236,10251,10258,10248,10251,10258,10244,10257,10315,10220,10259,10261,10258,10257,10240,10251,10246,10256,10250,10252,10253,10251,10251,10239,10253,10214,10214,10251,10253,10218,10242,10254,10128,10079,10052,10052,10051,10051,10052,10054,10051,10055,10057,10057,10063,10063,10040,9983,9958,9980,4693,4706,4704,4654,4663,4673,4682,41,41,75,77,78,69,69,69,70,70,69,70,69,19,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,8,8,8,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
667-C001-60-F-TIPmmrsa,17,17,17,17,17,19,17,17,17,17,17,17,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,21,17,17,17,18,20,10218,10215,10219,10214,10213,10219,10210,10214,10221,10210,10219,10220,10315,10223,10223,10221,10220,10202,10215,10212,10216,10214,10215,10212,10216,10213,10212,10212,10212,10212,10213,10213,10213,10203,10215,10093,10054,10030,10032,10031,10030,10031,10033,10031,10028,10032,10031,10030,10027,10030,10012,9984,10011,4671,4673,4671,4631,4660,4661,4679,41,41,75,77,78,69,69,69,70,70,69,70,69,19,17,19,19,17,17,18,18,19,6,6,6,6,6,6,6,6,6,7,6,6,7,6,9,6,6,6,6,7,6,6,6,6,6,6,7,6,8,6,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,2
6800-4104-0-HMRSA,35,35,35,35,35,36,35,35,35,35,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,37,38,37,37,17,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10255,10252,10258,10238,10250,10256,10247,10251,10258,10247,10256,10259,10223,10324,10260,10258,10259,10239,10254,10246,10255,10248,10254,10253,10252,10252,10239,10251,10216,10216,10250,10252,10217,10240,10252,10130,10080,10053,10055,10054,10053,10054,10056,10054,10056,10060,10059,10064,10064,10042,9984,9958,9983,4694,4707,4705,4655,4664,4675,4683,41,41,75,77,78,69,69,69,70,70,69,70,69,19,17,39,39,17,17,18,18,19,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
520-2010-0-NMRSA,35,35,35,35,35,36,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,18,18,18,18,18,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10257,10256,10258,10238,10255,10261,10252,10255,10262,10248,10260,10261,10223,10260,10310,10262,10261,10244,10254,10250,10259,10253,10256,10254,10255,10255,10242,10254,10218,10218,10255,10255,10221,10245,10257,10132,10080,10055,10056,10055,10055,10055,10058,10055,10058,10061,10061,10066,10066,10042,9986,9958,9984,4694,4707,4705,4655,4664,4675,4683,41,41,76,77,78,69,69,69,70,70,69,70,69,19,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
6505-4101-14-NMRSA,35,35,35,35,35,37,35,35,35,38,35,35,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,69,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,17,17,17,17,37,39,40,39,37,19,37,37,18,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,37,41,22,17,17,18,25,10256,10256,10257,10237,10254,10260,10251,10255,10262,10248,10260,10258,10221,10258,10262,10340,10262,10243,10253,10250,10257,10252,10256,10253,10254,10254,10241,10253,10217,10217,10254,10254,10221,10244,10256,10131,10079,10054,10056,10055,10054,10055,10057,10055,10057,10061,10060,10065,10065,10041,9985,9957,9984,4694,4707,4705,4655,4664,4675,4682,41,41,75,77,78,69,69,69,70,70,69,70,69,19,17,39,39,17,17,18,18,21,6,6,6,6,6,6,6,6,6,27,26,6,7,6,28,26,6,6,6,7,6,6,6,6,6,6,7,6,28,26,6,7,7,7,6,5,5,5,5,6,5,5,5,6,5,6,5,5,5,2,1,1
