,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_132,14442,14434,14432,14437,14438,14436,14369,14381,14381,14273,14265,14697,14697,14801,14715,14649,14712,14690,14688,14629,14458,14455,14438,14525,14525,6738,6817,6814,6815,6816,6684,6380,7460,335,190,189,189,203,203,203,204,203,203,203,203,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,2,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_543,14436,14439,14434,14435,14438,14435,14370,14376,14382,14269,14269,14693,14692,14715,14785,14649,14715,14695,14693,14631,14458,14452,14433,14532,14530,6741,6820,6817,6818,6819,6689,6380,7461,335,190,189,189,203,203,203,204,203,203,203,203,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_208,14375,14373,14371,14374,14377,14374,14307,14316,14319,14208,14204,14632,14632,14649,14649,14708,14652,14629,14627,14568,14398,14393,14372,14465,14465,6684,6763,6760,6761,6762,6646,6325,7405,335,190,189,189,203,203,203,204,203,203,204,204,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_262,14437,14438,14433,14436,14439,14436,14369,14378,14381,14270,14269,14694,14693,14712,14715,14652,14771,14694,14689,14630,14458,14453,14434,14530,14526,6741,6820,6817,6818,6819,6688,6380,7460,334,189,188,188,202,202,202,203,202,202,202,202,202,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_535,14433,14437,14431,14432,14435,14431,14368,14373,14379,14266,14266,14690,14690,14690,14695,14629,14694,14765,14687,14629,14454,14448,14430,14526,14523,6739,6818,6815,6816,6817,6687,6380,7461,335,190,189,189,203,203,203,204,203,203,203,203,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_531,14430,14431,14428,14429,14433,14429,14365,14370,14377,14263,14261,14691,14686,14688,14693,14627,14689,14687,14737,14626,14452,14446,14427,14524,14524,6739,6818,6815,6816,6817,6685,6378,7459,335,190,189,189,203,203,203,204,203,203,203,203,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_30,14374,14374,14372,14376,14376,14372,14370,14372,14378,14207,14207,14628,14628,14629,14631,14568,14630,14629,14626,14729,14395,14389,14371,14464,14464,6738,6770,6767,6768,6769,6676,6334,7414,335,190,189,189,203,203,203,204,203,203,203,203,203,198,76,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_284,14422,14420,14421,14421,14423,14423,14358,14362,14367,14241,14236,14457,14456,14458,14458,14398,14458,14454,14452,14395,14709,14703,14463,14490,14491,6787,6822,6818,6819,6818,6683,6333,7459,273,179,178,178,182,182,182,183,182,182,182,182,182,154,84,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,0,0,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_285,14419,14415,14416,14416,14418,14419,14353,14359,14362,14239,14232,14452,14453,14455,14452,14393,14453,14448,14446,14389,14703,14704,14463,14485,14485,6785,6818,6814,6817,6814,6679,6329,7454,273,179,178,178,182,182,182,183,182,182,182,182,182,154,84,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,0,0,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_43,14405,14398,14394,14401,14399,14397,14331,14345,14342,14227,14216,14435,14436,14438,14433,14372,14434,14430,14427,14371,14463,14463,14673,14466,14466,6722,6800,6794,6799,6797,6664,6319,7446,273,179,178,178,182,182,182,183,182,182,182,182,182,153,58,8,5,5,2,3,2,3,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,3,2,1,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_537,14437,14440,14434,14436,14441,14436,14371,14378,14383,14252,14253,14524,14523,14525,14532,14465,14530,14526,14524,14464,14490,14485,14466,14926,14798,6745,6825,6821,6822,6822,6691,6405,7478,376,231,230,230,195,195,195,196,195,195,195,195,195,221,63,8,5,5,2,3,2,2,4,1,1,1,1,2,4,4,3,3,3,3,4,5,4,3,2,2,3,2,2,2,2,4,2,2,3,3,2,2,3,2,1,0,0,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,2,2,2,1,1,1,2
MRSA_jail_560,14437,14437,14435,14436,14439,14436,14371,14377,14383,14252,14249,14524,14524,14525,14530,14465,14526,14523,14524,14464,14491,14485,14466,14798,14989,6745,6825,6821,6822,6822,6689,6406,7480,376,231,230,230,195,195,195,196,195,195,195,195,196,222,63,8,5,5,2,3,2,2,3,1,1,1,1,2,4,4,3,3,3,3,4,5,4,3,2,2,3,2,2,2,2,4,2,2,3,3,2,2,3,2,1,0,0,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,2,1,1,2,2,2,1,1,1,2
MRSA_jail_89,6725,6729,6725,6726,6728,6725,6723,6725,6728,6669,6672,6740,6737,6738,6741,6684,6741,6739,6739,6738,6787,6785,6722,6745,6745,14259,14018,13914,13944,13940,7202,6615,6541,273,179,178,178,182,182,182,182,182,182,181,182,181,156,87,7,5,5,2,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,2,1,1,3,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1
MRSA_jail_213,6804,6808,6804,6805,6807,6804,6755,6757,6760,6749,6752,6819,6816,6817,6820,6763,6820,6818,6818,6770,6822,6818,6800,6825,6825,14018,14274,14028,14058,14051,7234,6692,6633,274,179,178,178,183,183,183,183,183,182,182,183,182,157,61,7,5,5,2,2,1,1,3,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,3,1,1,3,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1
MRSA_jail_256,6799,6803,6801,6800,6804,6801,6752,6752,6757,6743,6748,6816,6813,6814,6817,6760,6817,6815,6815,6767,6818,6814,6794,6821,6821,13914,14028,14281,14203,14199,7217,6674,6623,272,178,177,177,181,181,181,181,181,180,180,181,180,155,60,7,5,5,2,2,1,1,3,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,3,1,1,3,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1
MRSA_jail_281,6802,6806,6802,6803,6805,6802,6753,6755,6758,6746,6749,6817,6814,6815,6818,6761,6818,6816,6816,6768,6819,6817,6799,6822,6822,13944,14058,14203,14282,14224,7233,6691,6626,272,178,177,177,181,181,181,181,181,180,180,181,180,155,60,7,5,5,2,2,1,1,3,1,2,1,1,2,1,2,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,3,1,1,3,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1
MRSA_jail_60,6802,6806,6802,6804,6804,6802,6753,6755,6757,6746,6749,6818,6815,6816,6819,6762,6819,6817,6817,6769,6818,6814,6797,6822,6822,13940,14051,14199,14224,14305,7234,6695,6623,272,178,177,177,181,181,181,181,181,180,180,181,180,155,60,7,5,5,2,2,1,1,3,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,3,1,1,3,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1
MRSA_jail_561,6673,6679,6672,6672,6676,6674,6663,6666,6670,6571,6571,6685,6683,6684,6689,6646,6688,6687,6685,6676,6683,6679,6664,6691,6689,7202,7234,7217,7233,7234,14673,6653,6616,271,179,178,178,182,182,182,182,182,182,182,183,183,155,59,7,5,5,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,0,0,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,3,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,1,1,1,1,2,1,1,1,1,2,1,1,1,3
