,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_539,14108,14111,14109,14110,14113,14108,14053,14053,14058,14197,14266,13995,13993,13995,13999,13937,13999,13996,13991,13941,13968,13964,13945,13983,13979,6548,6626,6624,6624,6624,6467,6147,7239,278,181,180,180,190,190,190,191,190,190,190,190,190,158,76,12,9,9,6,7,6,7,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_128,14164,14158,14159,14161,14162,14160,14098,14106,14108,14001,13995,14476,14416,14418,14414,14356,14415,14411,14412,14353,14183,14178,14159,14248,14248,6616,6693,6692,6692,6693,6578,6279,7341,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,10,6,7,6,6,8,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_187,14165,14157,14159,14161,14161,14160,14098,14107,14107,14002,13993,14416,14489,14418,14413,14356,14414,14411,14407,14353,14182,14179,14160,14247,14248,6613,6690,6689,6689,6690,6576,6277,7339,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,7
MRSA_jail_132,14167,14159,14160,14162,14163,14162,14099,14109,14109,14003,13995,14418,14418,14520,14435,14372,14432,14411,14409,14354,14184,14181,14162,14249,14249,6614,6691,6690,6690,6691,6577,6278,7340,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_543,14161,14164,14162,14160,14163,14161,14100,14104,14110,13999,13999,14414,14413,14435,14504,14372,14435,14416,14414,14356,14184,14178,14157,14256,14254,6617,6694,6693,6693,6694,6582,6278,7341,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_208,14103,14101,14102,14102,14105,14103,14040,14047,14050,13941,13937,14356,14356,14372,14372,14431,14375,14353,14351,14296,14127,14122,14099,14192,14192,6563,6640,6639,6639,6640,6541,6226,7288,335,191,190,190,204,204,204,205,204,204,205,205,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_262,14162,14163,14161,14161,14164,14162,14099,14106,14109,14000,13999,14415,14414,14432,14435,14375,14489,14415,14410,14355,14184,14179,14158,14254,14250,6617,6694,6693,6693,6694,6581,6278,7340,334,190,189,189,203,203,203,204,203,203,203,203,203,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_535,14158,14162,14159,14157,14160,14157,14098,14101,14107,13996,13996,14411,14411,14411,14416,14353,14415,14486,14408,14354,14180,14174,14154,14250,14247,6615,6692,6691,6691,6692,6580,6278,7341,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_531,14155,14156,14156,14154,14158,14155,14095,14098,14105,13993,13991,14412,14407,14409,14414,14351,14410,14408,14457,14351,14178,14172,14151,14248,14248,6615,6692,6691,6691,6692,6578,6276,7339,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
MRSA_jail_30,14103,14103,14104,14105,14105,14102,14101,14101,14107,13941,13941,14353,14353,14354,14356,14296,14355,14354,14351,14454,14125,14119,14099,14192,14192,6615,6646,6645,6645,6646,6570,6234,7296,335,191,190,190,204,204,204,205,204,204,204,204,204,200,80,12,9,9,6,7,6,6,7,5,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,5,5,6,5,5,5,6
