Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MaxSNPDist	NumBiallelicOverlappingGene	Percent	SNPDist_95p_of_max	Within_5p_MaxSNPDist	Plot_name	hex_color	color
Cd_1	C. difficile	10	4300000	43000000	104	103	1	0	1	14	14	0	84	83	1	6	6	0	41	7	7.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	10	4300000	43000000	122	122	0	0	0	20	20	0	97	97	0	5	5	0	66	5	7.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	10	4300000	43000000	127	127	0	0	0	28	28	0	94	94	0	6	6	0	55	18	7.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	10	4300000	43000000	2388	2388	0	0	0	1593	1593	0	790	790	0	7	7	0	2312	14	7.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	159	159	0	0	0	29	29	0	116	116	0	13	13	0	53	4	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	173	172	1	0	1	33	33	0	112	111	1	8	8	0	72	23	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	2363	2363	0	0	0	1567	1567	0	788	788	0	9	9	0	2274	16	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	140	139	1	0	1	26	26	0	108	107	1	6	6	0	51	10	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	129	129	0	0	0	25	25	0	95	95	0	9	9	0	35	18	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	170	170	0	0	0	36	36	0	123	123	0	11	11	0	52	19	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	129	128	1	0	1	15	15	0	105	104	1	9	9	0	43	7	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	146	146	0	0	0	23	23	0	114	114	0	9	9	0	66	5	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	162	161	1	0	1	36	36	0	116	115	1	11	11	0	57	18	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	14	4300000	60200000	2426	2425	1	0	1	1600	1600	0	818	817	1	10	10	0	2312	15	10	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	179	179	0	0	0	34	34	0	131	131	0	13	13	0	53	5	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	198	197	1	0	1	43	43	0	125	124	1	9	9	0	72	23	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	2391	2390	1	0	1	1574	1574	0	805	804	1	13	13	0	2293	17	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	151	150	1	0	1	28	28	0	117	116	1	6	6	0	51	10	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	178	178	0	0	0	35	35	0	129	129	0	14	14	0	65	20	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	197	197	0	0	0	42	42	0	143	143	0	12	12	0	65	21	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	144	143	1	0	1	17	17	0	118	117	1	9	9	0	43	7	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	167	167	0	0	0	31	31	0	127	127	0	9	9	0	66	5	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	202	201	1	0	1	42	42	0	144	143	1	17	17	0	59	19	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	17	4300000	73100000	2461	2459	2	0	2	1604	1604	0	847	845	2	12	12	0	2312	16	12.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	277	277	0	0	0	53	53	0	201	201	0	22	22	0	53	12	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	776	773	3	0	3	400	400	0	338	335	3	19	19	0	505	34	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	2500	2499	1	0	1	1591	1591	0	890	889	1	20	20	0	2293	20	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	2970	2968	2	0	2	1929	1929	0	1026	1024	2	18	18	0	2738	29	25	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	895	892	3	0	3	489	489	0	383	380	3	23	23	0	641	25	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	321	320	1	0	1	60	60	0	237	236	1	24	24	0	71	25	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	262	260	2	0	2	46	46	0	200	198	2	16	16	0	53	15	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	275	274	1	0	1	51	51	0	205	204	1	18	18	0	67	13	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	2549	2548	1	0	1	1609	1609	0	913	912	1	30	30	0	2301	37	25	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	34	4300000	146200000	3037	3034	3	0	3	1960	1960	0	1055	1052	3	25	25	0	2738	28	25	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	1124	1121	3	0	3	551	551	0	540	537	3	35	35	0	641	20	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	975	972	3	0	3	433	433	0	491	488	3	32	32	0	509	42	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	2666	2664	2	0	2	1626	1626	0	1010	1008	2	31	31	0	2293	29	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	3156	3154	2	0	2	1968	1968	0	1162	1160	2	29	29	0	2738	32	50	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	1122	1118	4	0	4	547	547	0	541	537	4	34	34	0	641	32	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	479	477	2	0	2	88	88	0	360	358	2	32	32	0	71	32	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	541	538	3	0	3	128	128	0	364	361	3	30	30	0	87	55	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	2768	2767	1	0	1	1663	1663	0	1073	1072	1	32	32	0	2312	40	50	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	3393	3391	2	0	2	2100	2100	0	1254	1252	2	41	41	0	2738	47	50	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	68	4300000	292400000	3346	3342	4	0	4	2087	2087	0	1224	1220	4	37	37	0	2738	30	50	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	1316	1312	4	0	4	583	583	0	669	665	4	46	46	0	641	56	75	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3496	3492	4	0	4	2100	2100	0	1334	1330	4	45	45	0	2738	69	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3027	3025	2	0	2	1776	1776	0	1208	1206	2	44	44	0	2401	47	75	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3413	3409	4	0	4	2031	2031	0	1321	1317	4	44	44	0	2738	56	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3542	3538	4	0	4	2131	2131	0	1350	1346	4	43	43	0	2738	66	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3499	3495	4	0	4	2113	2113	0	1340	1336	4	49	49	0	2738	47	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	688	684	4	0	4	152	152	0	474	470	4	42	42	0	87	54	75	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3514	3509	5	0	5	2125	2125	0	1344	1339	5	48	48	0	2738	49	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3529	3526	3	0	3	2121	2121	0	1361	1358	3	50	50	0	2738	49	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_1	C. difficile	103	4300000	442900000	3484	3479	5	0	5	2115	2115	0	1323	1318	5	49	49	0	2738	45	75	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_3	C. difficile	3	4300000	12900000	11204	11184	20	0	20	7849	7830	19	3542	3538	4	32	32	0	8570	1447	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	17637	17637	0	0	0	12341	12341	0	5570	5570	0	34	34	0	17629	2091	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	13836	13813	23	0	23	9791	9768	23	4286	4284	2	44	44	0	10064	1765	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	17325	17325	0	0	0	12021	12021	0	5563	5563	0	42	42	0	17295	2091	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	21165	21116	49	0	49	14801	14763	38	6692	6676	16	42	41	1	17619	2485	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	8806	8806	0	0	0	6157	6157	0	2803	2803	0	29	29	0	8778	1155	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	78081	78080	1	0	1	57847	57846	1	21557	21556	1	154	154	0	78052	9200	2.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	6658	6658	0	0	0	4708	4708	0	2065	2065	0	16	16	0	6651	859	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	8048	8048	0	0	0	5734	5734	0	2464	2464	0	28	28	0	8014	1074	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	21089	21045	44	0	44	14621	14585	36	6788	6775	13	56	56	0	17244	2505	2.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	90619	89851	767	1	768	66228	65580	648	25816	25581	235	188	184	4	76812	9690	5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	21208	21159	49	0	49	14814	14776	38	6718	6702	16	46	45	1	17629	2488	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	26653	26555	97	1	98	18568	18489	79	8504	8474	30	71	70	1	18685	3116	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
