AvgNumVariantSite	AvgNumMultiallelicSite	Species	Percent	MaxSNPDist	Project	Dataset	hex_color	color
9111.3	0	L. crispatus	7.5	9111.3	Lc_1	L. crispatus #1	#f032e6	magenta
15930.4	24.1	L. crispatus	10	13359.8	Lc_1	L. crispatus #1	#f032e6	magenta
19273	45.5	L. crispatus	12.5	14655.1	Lc_1	L. crispatus #1	#f032e6	magenta
26349.5	141	L. crispatus	25	18659.1	Lc_1	L. crispatus #1	#f032e6	magenta
36765.4	308.7	L. crispatus	50	22683	Lc_1	L. crispatus #1	#f032e6	magenta
43421.1	474.3	L. crispatus	75	23091.4	Lc_1	L. crispatus #1	#f032e6	magenta
45425	536	L. crispatus	100	23148	Lc_1	L. crispatus #1	#f032e6	magenta
5709.8	0.2	S. aureus	1	5626.1	Sa_2	S. aureus #2	#fabebe	pink
13861.7	22.8	S. aureus	2.5	12856.4	Sa_2	S. aureus #2	#fabebe	pink
22305.5	65.9	S. aureus	5	19715.6	Sa_2	S. aureus #2	#fabebe	pink
29624.2	110.4	S. aureus	7.5	25489.4	Sa_2	S. aureus #2	#fabebe	pink
30104.8	114.1	S. aureus	10	25511.4	Sa_2	S. aureus #2	#fabebe	pink
33902.9	139.6	S. aureus	12.5	28425.9	Sa_2	S. aureus #2	#fabebe	pink
46292	231.3	S. aureus	25	37273.3	Sa_2	S. aureus #2	#fabebe	pink
52856.4	305.8	S. aureus	50	40260.9	Sa_2	S. aureus #2	#fabebe	pink
55130	344	S. aureus	75	40302	Sa_2	S. aureus #2	#fabebe	pink
57399	391	S. aureus	100	40302	Sa_2	S. aureus #2	#fabebe	pink
