AvgNumVariantSite	AvgNumMultiallelicSite	Species	Percent	MeanSNPDist	MedianSNPDist	MaxSNPDist	Project	Dataset	hex_color	color
1412.6	6.7	K. pneumoniae	10	204.678078817734	66	927.5	Kp_2	K. pneumoniae #2	#e6beff	lavendar
1624	9.6	K. pneumoniae	12.5	216.70349206349206	69.95	1025.5	Kp_2	K. pneumoniae #2	#e6beff	lavendar
2272.4	17.5	K. pneumoniae	25	211.98689358372457	70.25	1263.1	Kp_2	K. pneumoniae #2	#e6beff	lavendar
3378.3	28.6	K. pneumoniae	50	212.00396927016646	67.6	1736.7	Kp_2	K. pneumoniae #2	#e6beff	lavendar
3961.5	37.6	K. pneumoniae	75	204.14399104909833	66.7	1903.3	Kp_2	K. pneumoniae #2	#e6beff	lavendar
4534	43	K. pneumoniae	100	204.56596736596737	67	2125	Kp_2	K. pneumoniae #2	#e6beff	lavendar
0	0	L. crispatus	1	NaN	NA	-Inf	Lc_1	L. crispatus #1	#f032e6	magenta
9111.3	0	L. crispatus	7.5	9111.3	9111.3	9111.3	Lc_1	L. crispatus #1	#f032e6	magenta
15930.4	24.1	L. crispatus	10	9771.6	11772.2	13359.8	Lc_1	L. crispatus #1	#f032e6	magenta
19273	45.5	L. crispatus	12.5	9497.35	10339	14655.1	Lc_1	L. crispatus #1	#f032e6	magenta
26349.5	141	L. crispatus	25	8529.27619047619	7964.8	18659.1	Lc_1	L. crispatus #1	#f032e6	magenta
36765.4	308.7	L. crispatus	50	8464.44065934066	5887	22683	Lc_1	L. crispatus #1	#f032e6	magenta
43421.1	474.3	L. crispatus	75	9400.328095238096	5541.85	23091.4	Lc_1	L. crispatus #1	#f032e6	magenta
45425	536	L. crispatus	100	9501.513227513227	6219.5	23148	Lc_1	L. crispatus #1	#f032e6	magenta
5425	0	S. aureus	1	5425	5425	5425	Sa_1	S. aureus #1	#e6194B	red
10089.3	1.9	S. aureus	2.5	5193.733333333334	5547	9680.8	Sa_1	S. aureus #1	#e6194B	red
15424	23.7	S. aureus	5	5436.814285714286	4325.1	12698.6	Sa_1	S. aureus #1	#e6194B	red
17661.6	32.3	S. aureus	7.5	5615.105454545454	3034.2	14132.2	Sa_1	S. aureus #1	#e6194B	red
18577.2	40.2	S. aureus	10	5132.3	1760.4	14134.6	Sa_1	S. aureus #1	#e6194B	red
19673.6	50.3	S. aureus	12.5	5181.732748538012	1730.8	14217.2	Sa_1	S. aureus #1	#e6194B	red
25846.7	115.4	S. aureus	25	5227.6834992887625	408.9	14466.8	Sa_1	S. aureus #1	#e6194B	red
32248.2	213	S. aureus	50	5187.415675675676	438.3	14523.4	Sa_1	S. aureus #1	#e6194B	red
35191.2	252.5	S. aureus	75	5286.040717503218	475.75	14592.2	Sa_1	S. aureus #1	#e6194B	red
38142	296	S. aureus	100	5194.964295302014	479	14627	Sa_1	S. aureus #1	#e6194B	red
5709.8	0.2	S. aureus	1	3799.9	5603.4	5626.1	Sa_2	S. aureus #2	#fabebe	pink
13861.7	22.8	S. aureus	2.5	5553.338095238096	2452.1	12856.4	Sa_2	S. aureus #2	#fabebe	pink
22305.5	65.9	S. aureus	5	5918.291025641026	2439.35	19715.6	Sa_2	S. aureus #2	#fabebe	pink
29624.2	110.4	S. aureus	7.5	5762.0447368421055	318.75	25489.4	Sa_2	S. aureus #2	#fabebe	pink
30104.8	114.1	S. aureus	10	5539.710541310541	269.5	25511.4	Sa_2	S. aureus #2	#fabebe	pink
33902.9	139.6	S. aureus	12.5	5318.47821969697	263.3	28425.9	Sa_2	S. aureus #2	#fabebe	pink
46292	231.3	S. aureus	25	5396.085119855269	267.2	37273.3	Sa_2	S. aureus #2	#fabebe	pink
52856.4	305.8	S. aureus	50	5717.545595331612	276.9	40260.9	Sa_2	S. aureus #2	#fabebe	pink
55283	348.6666666666667	S. aureus	75	5556.383634840871	274.6666666666667	40302	Sa_2	S. aureus #2	#fabebe	pink
57399	391	S. aureus	100	5561.357438540171	270	40302	Sa_2	S. aureus #2	#fabebe	pink
21732.9	69.9	S. maltophilia	2.5	11114.016666666666	11676.95	17978.1	Sm_1	S. maltophilia #1	#aaffc3	mint
33668.8	227.5	S. maltophilia	5	11179.94761904762	12362.3	21413	Sm_1	S. maltophilia #1	#aaffc3	mint
45118.7	429.9	S. maltophilia	7.5	11366.14	11957	22903.3	Sm_1	S. maltophilia #1	#aaffc3	mint
50688.6	541.4	S. maltophilia	10	11108.503809523809	10952.6	23996.4	Sm_1	S. maltophilia #1	#aaffc3	mint
59273	741.5	S. maltophilia	12.5	11242.083040935673	12613.9	24475.4	Sm_1	S. maltophilia #1	#aaffc3	mint
79698.5	1304.8	S. maltophilia	25	11146.685585585585	13445.05	26697.1	Sm_1	S. maltophilia #1	#aaffc3	mint
104226.1	2185.1	S. maltophilia	50	11186.93620881155	14098.4	27866.8	Sm_1	S. maltophilia #1	#aaffc3	mint
115469.8	2649.6	S. maltophilia	75	11471.101898326899	14314.4	28470	Sm_1	S. maltophilia #1	#aaffc3	mint
124578	3080	S. maltophilia	100	11243.41030292037	14312	28842	Sm_1	S. maltophilia #1	#aaffc3	mint
