Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sa_1	S. aureus	112	2800000	313600000	36294	36016	277	1	278	22137	21939	198	13087	12992	95	315	309	6	5566.403314028314	490	14627	67
Sa_1	S. aureus	112	2800000	313600000	36735	36446	288	1	289	22243	22039	204	13406	13304	102	329	321	8	5134.4925997426	483	14627	69
Sa_1	S. aureus	112	2800000	313600000	35711	35443	268	0	268	21704	21512	192	12963	12873	90	308	300	8	5714.599903474904	491	14627	66
Sa_1	S. aureus	112	2800000	313600000	32800	32599	201	0	201	19892	19748	144	11921	11853	68	292	289	3	5213.312741312741	472	14627	62
Sa_1	S. aureus	112	2800000	313600000	32814	32615	199	0	199	19750	19606	144	12057	11990	67	301	298	3	5100.087676962677	474	14627	65
Sa_1	S. aureus	112	2800000	313600000	35786	35513	273	0	273	21993	21797	196	12781	12690	91	297	291	6	5559.436454311454	490	14531	67
Sa_1	S. aureus	112	2800000	313600000	36671	36392	278	1	279	22233	22034	199	13375	13278	97	317	311	6	4795.495012870013	474	14539	72
Sa_1	S. aureus	112	2800000	313600000	35857	35593	264	0	264	21856	21667	189	12953	12864	89	323	318	5	5267.978603603604	474	14545	70
Sa_1	S. aureus	112	2800000	313600000	36128	35869	259	0	259	21940	21755	185	13119	13036	83	324	318	6	5728.8935006435	496	14627	70
Sa_1	S. aureus	112	2800000	313600000	33116	32901	214	1	215	20035	19882	153	12082	12009	73	294	289	5	4779.707368082368	413.5	14545	67
